GSM2731707!SRX3059766!SRR5894189!GSE102243!Homo sapiens!pro-seq!Kasumi-1!blood!cancer! !The CDK7 inhibitor THZ1 alters RNA polymerase dynamics at the 5' and 3' ends of genes.!30805632!Vanderbilt University!2019-02-11,,
GSM2731706!SRX3059765!SRR5894188!GSE102243!Homo sapiens!pro-seq!Kasumi-1!blood!cancer! !The CDK7 inhibitor THZ1 alters RNA polymerase dynamics at the 5' and 3' ends of genes.!30805632!Vanderbilt University!2019-02-11,,
GSM2731705!SRX3059764!SRR5894187!GSE102243!Homo sapiens!pro-seq!Kasumi-1!blood!cancer! !The CDK7 inhibitor THZ1 alters RNA polymerase dynamics at the 5' and 3' ends of genes.!30805632!Vanderbilt University!2019-02-11,,
GSM2731704!SRX3059763!SRR5894186!GSE102243!Homo sapiens!pro-seq!Kasumi-1!blood!cancer! !The CDK7 inhibitor THZ1 alters RNA polymerase dynamics at the 5' and 3' ends of genes.!30805632!Vanderbilt University!2019-02-11,,
GSM2731703!SRX3059762!SRR5894185!GSE102243!Homo sapiens!pro-seq!Kasumi-1!blood!cancer! !The CDK7 inhibitor THZ1 alters RNA polymerase dynamics at the 5' and 3' ends of genes.!30805632!Vanderbilt University!2019-02-11,,
GSM2731702!SRX3059761!SRR5894184!GSE102243!Homo sapiens!pro-seq!Kasumi-1!blood!cancer! !The CDK7 inhibitor THZ1 alters RNA polymerase dynamics at the 5' and 3' ends of genes.!30805632!Vanderbilt University!2019-02-11,,
GSM2828779!SRX3314979!SRR6205688!GSE105936##GSE105937!Homo sapiens!pro-seq!IMR90!lung!transform! !Not publish!None!The University of Pennsylvania!2019-02-06,,
GSM3068957!SRX3852864!SRR6904132!GSE112379!Homo sapiens!pro-seq!Flp-In T-REx 293!Kidney!transform! !Nascent-protein ubiquitination is required for heat shock-induced gene downregulation in human cells.!30723328!Max Planck Institute of Immunobiology and Epigenetics!2019-02-07,,
GSM3177033!SRX4170775!SRR7266936!GSE115377!Homo sapiens!pro-seq!MV4-11!blood!cancer! !Displacement of WDR5 from Chromatin by a WIN Site Inhibitor with Picomolar Affinity.!30865883!Vanderbilt University!2019-03-12,,
GSM2731709!SRX3059768!SRR5894191!GSE102243!Homo sapiens!pro-seq!Kasumi-1!blood!cancer! !The CDK7 inhibitor THZ1 alters RNA polymerase dynamics at the 5' and 3' ends of genes.!30805632!Vanderbilt University!2019-02-11,,
GSM2731708!SRX3059767!SRR5894190!GSE102243!Homo sapiens!pro-seq!Kasumi-1!blood!cancer! !The CDK7 inhibitor THZ1 alters RNA polymerase dynamics at the 5' and 3' ends of genes.!30805632!Vanderbilt University!2019-02-11,,
GSM2741483!SRX3090246!SRR5929962!GSE102590!Schizosaccharomyces pombe!pro-seq!whole body!whole body!normal! !A Cdk9-PP1 switch regulates the elongation-termination transition of RNA polymerase II. !29899453!Icahn School of Medicine at Mount Sinai!2018-06-07,,
GSM2741482!SRX3090245!SRR5929961!GSE102590!Schizosaccharomyces pombe!pro-seq!whole body!whole body!normal! !A Cdk9-PP1 switch regulates the elongation-termination transition of RNA polymerase II. !29899453!Icahn School of Medicine at Mount Sinai!2018-06-07,,
GSM2741481!SRX3090244!SRR5929960!GSE102590!Schizosaccharomyces pombe!pro-seq!whole body!whole body!normal! !A Cdk9-PP1 switch regulates the elongation-termination transition of RNA polymerase II. !29899453!Icahn School of Medicine at Mount Sinai!2018-06-07,,
GSM2741480!SRX3090243!SRR5929959!GSE102590!Schizosaccharomyces pombe!pro-seq!whole body!whole body!normal! !A Cdk9-PP1 switch regulates the elongation-termination transition of RNA polymerase II. !29899453!Icahn School of Medicine at Mount Sinai!2018-06-07,,
GSM2741487!SRX3090250!SRR5929966!GSE102590!Schizosaccharomyces pombe!pro-seq!whole body!whole body!normal! !A Cdk9-PP1 switch regulates the elongation-termination transition of RNA polymerase II. !29899453!Icahn School of Medicine at Mount Sinai!2018-06-07,,
GSM2741486!SRX3090249!SRR5929965!GSE102590!Schizosaccharomyces pombe!pro-seq!whole body!whole body!normal! !A Cdk9-PP1 switch regulates the elongation-termination transition of RNA polymerase II. !29899453!Icahn School of Medicine at Mount Sinai!2018-06-07,,
